                                   [Geometry Dash] 2014 | 5000k | 182534 (94%) | 0.6h
                                          [Portal] 2007 | 10000k | 108353 (98%) | 3.0h
                               [Little Nightmares] 2017 | 2000k | 75367 (95%) | 3.5h
                          [A Story About My Uncle] 2014 | 5000k | 25589 (92%) | 3.0h
                                  [Goat Simulator] 2014 | 2000k | 53579 (90%) | 1.5h
                           [Half-Life: Blue Shift] 2001 | 10000k | 10256 (91%) | 3.0h
                             [Plague Inc: Evolved] 2016 | 2000k | 41913 (94%) | 2.5h
                                    [SpeedRunners] 2016 | 2000k | 31106 (94%) | 2.0h
                           [Skullgirls 2nd Encore] 2013 | 2000k | 24127 (94%) | 2.5h
                                 [The Expendabros] 2014 | 2000k | 17068 (97%) | 1.0h
                                       [Duck Game] 2015 | 1000k | 32180 (97%) | 0.9h
                         [A Dance of Fire and Ice] 2019 | 1000k | 39971 (94%) | 3.0h
                         [Five Nights at Freddy's] 2014 | 1000k | 31124 (92%) | 2.0h
                                        [SUPERHOT] 2016 | 1000k | 27409 (90%) | 2.5h
        [The Awesome Adventures of Captain Spirit] 2018 | 2000k | 11635 (93%) | 1.5h
                                         [Unheard] 2019 | 1000k | 24009 (97%) | 3.0h
                                    [Risk of Rain] 2013 | 1000k | 26591 (94%) | 3.5h
             [Freddy Fazbear's Pizzeria Simulator] 2017 | 1000k | 19812 (94%) | 2.5h
                                      [Iron Snout] 2016 | 1000k | 16435 (98%) | 2.5h
                     [What Remains of Edith Finch] 2017 | 500k | 25897 (96%) | 2.0h
                                 [Blood and Bacon] 2016 | 500k | 27509 (95%) | 3.0h
                                  [Moonbase Alpha] 2010 | 1000k | 11226 (90%) | 1.0h
                  [Clone Drone in the Danger Zone] 2021 | 500k | 18291 (97%) | 0.9h
                                         [Journey] 2020 | 500k | 20432 (95%) | 2.0h
                                            [ICEY] 2016 | 500k | 20095 (91%) | 2.5h
                       [Five Nights at Freddy's 2] 2014 | 500k | 14402 (94%) | 2.5h
                                     [Baba Is You] 2019 | 500k | 15787 (98%) | 3.5h
                             [Just Shapes & Beats] 2018 | 500k | 14532 (98%) | 3.0h
                                       [ISLANDERS] 2019 | 500k | 13433 (95%) | 2.5h
                                     [Pony Island] 2016 | 500k | 12343 (95%) | 2.5h
                                    [Monster Prom] 2018 | 500k | 10279 (93%) | 1.0h
                                         [The Lab] 2016 | 1000k | 5105 (95%) | 1.5h
                                        [Gunpoint] 2013 | 500k | 11854 (97%) | 3.0h
                      [Transmissions: Element 120] 2016 | 500k | 8734 (94%) | 1.0h
                       [Five Nights at Freddy's 4] 2015 | 500k | 9527 (93%) | 2.0h
                                            [Zup!] 2016 | 500k | 7687 (94%) | 0.3h
                                 [FAR: Lone Sails] 2018 | 500k | 10524 (94%) | 3.0h
                                [Glass Masquerade] 2016 | 1000k | 5375 (97%) | 3.5h
         [Viscera Cleanup Detail: Santa's Rampage] 2013 | 1000k | 4638 (91%) | 2.0h
                                    [Clustertruck] 2016 | 500k | 11119 (93%) | 3.5h
                                [Genital Jousting] 2018 | 500k | 8353 (92%) | 1.5h
                              [Mount Your Friends] 2014 | 500k | 7163 (95%) | 1.0h
                                          [VVVVVV] 2010 | 500k | 8511 (96%) | 2.5h
                                  [Little Inferno] 2012 | 500k | 9148 (94%) | 3.0h
                                         [Refunct] 2015 | 200k | 15798 (96%) | 0.4h
                         [Octodad: Dadliest Catch] 2014 | 500k | 8199 (93%) | 2.5h
        [Five Nights at Freddy's: Sister Location] 2016 | 500k | 8389 (91%) | 2.5h
                            [Cube Escape: Paradox] 2018 | 500k | 6654 (97%) | 2.0h
                                          [Viridi] 2015 | 500k | 7517 (92%) | 2.5h
                                [Thomas Was Alone] 2012 | 500k | 8219 (94%) | 3.5h
                                           [Himno] 2019 | 500k | 4852 (92%) | 0.4h
                         [Do Not Feed the Monkeys] 2018 | 500k | 6490 (93%) | 3.0h
                                    [The Room Two] 2016 | 200k | 14447 (98%) | 3.0h
                                         [Montaro] 2016 | 200k | 11416 (95%) | 1.0h
                                        [Pikuniku] 2019 | 500k | 5454 (96%) | 3.0h
                                         [Gorogoa] 2017 | 200k | 11465 (97%) | 2.0h
                                  [Ticket to Ride] 2012 | 500k | 3942 (90%) | 0.5h
                                    [Soda Dungeon] 2017 | 500k | 5311 (94%) | 3.5h
                                     [Superflight] 2017 | 200k | 9612 (97%) | 1.5h
                                 [One Way Heroics] 2014 | 500k | 3659 (94%) | 2.0h
                                     [FrostRunner] 2019 | 500k | 2980 (95%) | 0.8h
                                            [Hook] 2015 | 200k | 8240 (97%) | 2.0h
               [Tiny and Big: Grandpa's Leftovers] 2012 | 500k | 3681 (92%) | 2.5h
                                        [Florence] 2020 | 200k | 6945 (94%) | 0.7h
                                    [Hidden Folks] 2017 | 200k | 7814 (97%) | 3.0h
                                          [Zup! 2] 2016 | 200k | 5941 (96%) | 0.7h
                               [Hatoful Boyfriend] 2014 | 200k | 6375 (94%) | 1.5h
                             [Out There Somewhere] 2016 | 200k | 6386 (93%) | 1.5h
                                    [Marie's Room] 2018 | 200k | 5429 (94%) | 0.7h
                                    [A Short Hike] 2019 | 100k | 10937 (99%) | 1.5h
                                        [Distance] 2018 | 200k | 6026 (93%) | 2.0h
                                [Rusty Lake Hotel] 2016 | 200k | 5622 (96%) | 2.0h
                                    [Donut County] 2018 | 200k | 5756 (90%) | 2.0h
                                     [Hentai Girl] 2018 | 200k | 4662 (91%) | 0.3h
                        [You Have to Win the Game] 2014 | 200k | 5200 (93%) | 1.5h
                                  [The Silent Age] 2015 | 200k | 6162 (93%) | 3.0h
                                  [What Never Was] 2019 | 200k | 4258 (95%) | 0.5h
                             [Lethal League Blaze] 2018 | 200k | 4976 (97%) | 2.0h
                                          [Zup! 3] 2017 | 200k | 4645 (90%) | 0.9h
                                       [Jamestown] 2011 | 500k | 2114 (94%) | 2.5h
                                        [Hexcells] 2014 | 200k | 4820 (97%) | 2.0h
                              [Meteor 60 Seconds!] 2018 | 200k | 3824 (96%) | 0.1h
                               [Emily is Away Too] 2017 | 200k | 4784 (94%) | 2.0h
